,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
118,2012-00048257,09/06/12,15:00,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 404 Mowatt La",09/06/12,15:19,Assault,Arrest
120,2012-00048259,09/06/12,16:46,3400 block of Tulane Dr,09/06/12,16:46,Emergency Petition,CBE
122,2012-00048282,09/06/12,21:00,Easton Hall at 253 Denton Dr,09/06/12,21:02,Injured/Sick Person,CBE
124,2012-00048315,09/06/12,23:53,Yale Ave,09/06/12,23:53,Alcohol Violation,Arrest
126,2012-00048321,09/07/12,00:16,Commons 3 at 4318 Knox Rd,09/07/12,00:16,Injured/Sick Person,CBE
128,2012-00048324,09/07/12,00:28,Hagerstown Hall at 258 Hagerstown Dr,09/07/12,00:28,Injured/Sick Person,CBE
130,2012-00048333,09/06/12,02:00,Service Building at 3 Rossborough La,09/07/12,00:50,Dept Property Damage/Loss,CBE
132,2012-00048347,09/07/12,01:25,Baltimore Ave,09/07/12,01:30,Injured/Sick Person,CBE
134,2012-00048374,09/07/12,02:43,Hagerstown Hall at 258 Hagerstown Dr,09/07/12,02:43,Injured/Sick Person,CBE
136,2012-00048408,09/07/12,05:00,Hornbake Library at 147 Campus Dr,09/07/12,06:15,Vandalism,Active/Pending
138,2012-00048414,09/07/12,08:20,Paint Branch Dr,09/07/12,08:30,Injured/Sick Person,CBE
140,2012-00048421,07/31/12,14:30,Ellicott Hall at 256 Stadium Dr,09/07/12,09:53,Theft,Active/Pending
142,2012-00048422,09/01/12,20:12,250 block of Stadium Dr,09/07/12,09:53,Theft,Suspended
144,2012-00048425,09/07/12,11:05,University Bl,09/07/12,11:06,Traffic Offense,CBE
146,2012-00048434,08/24/12,11:00,"H.J. Patterson Hall, HJ Patterson Hall at 73 Campus Dr",09/07/12,14:25,Theft,Unfounded
148,2012-00048437,09/07/12,12:45,Mckeldin Library at 35 Library La,09/07/12,15:37,Theft,Suspended
150,2012-00048439,09/07/12,16:09,South Campus Dining Hall at 26 Preinkert Dr,09/07/12,16:09,Injured/Sick Person,CBE
152,2012-00048440,09/07/12,16:22,South Campus Dining Hall at 26 Preinkert Dr,09/07/12,16:22,Injured/Sick Person,CBE
154,2012-00048447,09/07/12,16:00,"Eppley Recreation Center, ERC at 68 Farm Dr",09/07/12,17:40,Theft,Arrest
156,2012-00048475,09/07/12,19:30,360 block of Azalea La,09/07/12,19:36,Domestic,Arrest
158,2012-00048502,09/07/12,23:24,Rhode Island Ave,09/07/12,23:24,Alcohol Violation,Arrest
160,2012-00048509,09/07/12,23:36,Kim Engineering Building at 225 Stadium Dr,09/07/12,23:36,Injured/Sick Person,CBE
162,2012-00048519,09/08/12,00:30,Rossburg Dr,09/08/12,00:30,Alcohol Violation,Arrest
164,2012-00048535,09/08/12,01:16,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage at 403 Terrapin Tr",09/08/12,01:16,CDS Violation,Arrest
166,2012-00048543,09/07/12,12:00,Lot C1,09/08/12,01:42,Vandalism,Suspended
168,2012-00048554,09/08/12,02:30,360 block of Azalea La,09/08/12,02:30,Injured/Sick Person,CBE
170,2012-00048556,09/08/12,02:39,Baltimore Ave,09/08/12,02:39,CDS Violation,Arrest
172,2012-00048565,09/08/12,03:38,Denton Hall at 252 Stadium Dr,09/08/12,03:38,Injured/Sick Person,CBE
174,2012-00048567,09/08/12,03:41,"Frat 13, Zeta Psi Fraternity at 13 Fraternity Row",09/08/12,03:41,Injured/Sick Person,CBE
176,2012-00048573,09/08/12,05:03,"Byrd Stadium, Capital One Field at Byrd Stadium",09/08/12,05:03,Injured/Sick Person,CBE
178,2012-00048579,09/07/12,11:30,Lot 1b,09/08/12,09:05,Vandalism,Suspended
180,2012-00048581,09/08/12,09:59,Service Building at 3 Rossborough La,09/08/12,09:59,Injured/Sick Person,CBE
182,2012-00048584,09/08/12,01:00,Cumberland Hall at 122 Valley Dr,09/08/12,12:24,Theft,Suspended
184,2012-00048596,09/08/12,16:16,Knight Hall at 417 Union Dr,09/08/12,16:16,Injured/Sick Person,CBE
186,2012-00048597,08/03/12,08:00,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 404 Mowatt La",09/08/12,15:57,Theft,Active/Pending
188,2012-00048623,09/08/12,19:35,Easton Hall at 253 Denton Dr,09/08/12,19:35,Injured/Sick Person,CBE
190,2012-00048637,09/07/12,10:30,Commons 5 at 6903 Preinkert Dr,09/08/12,21:03,Assault,Active/Pending
192,2012-00048645,09/08/12,22:09,University Bl,09/08/12,22:09,DWI/DUI,Arrest
194,2012-00048653,09/08/12,22:45,Baltimore Ave,09/08/12,22:45,Traffic Offense,CBE
196,2012-00048669,09/09/12,00:54,Elkton Hall at 254 Denton Dr,09/09/12,00:54,Injured/Sick Person,CBE
198,2012-00048692,09/09/12,03:04,Harrison Laboratory at 2 Baltimore Ave,09/09/12,03:04,Assist Other Agency,CBE
200,2012-00048743,09/09/12,00:01,Lot 3,09/09/12,13:31,Vandalism,Suspended
202,2012-00048746,09/09/12,13:30,Dorchester Hall at 64 Campus Dr,09/09/12,13:56,Vandalism,Suspended
204,2012-00048788,09/08/12,17:30,Service Building at 3 Rossborough La,09/09/12,20:00,Dept Property Damage/Loss,CBE
206,2012-00048809,09/07/12,03:00,Elkton Hall at 254 Denton Dr,09/09/12,22:17,Vandalism,Suspended
208,2012-00048820,09/09/12,23:42,Bentleys at 7323 Baltimore Ave,09/09/12,23:42,Injured/Sick Person,CBE
210,2012-00048857,09/10/12,09:16,Denton Hall at 252 Stadium Dr,09/10/12,09:16,Injured/Sick Person,CBE
212,2012-00048861,09/10/12,09:00,Mathematics Building at 84 Campus Dr,09/10/12,09:23,Suspicious Person/Auto,CBE
214,2012-00048890,09/05/12,08:00,"S Campus Surge, Susquehanna Hall at 233 Lehigh Rd",09/10/12,13:04,Pornography/Obscene Material,Active/Pending
216,2012-00048897,09/08/12,22:00,Commons 2 at 4250 Knox Rd,09/10/12,13:31,Theft,Suspended
218,2012-00048909,05/03/12,11:00,Oakland Hall at 419 Denton Dr,09/10/12,15:24,Burglary,Active/Pending
220,2012-00048911,09/02/12,19:00,Lot 1d,09/10/12,15:33,Vandalism,Active/Pending
222,2012-00048922,09/10/12,16:50,Plant Sciences Building at 36 Field House Dr,09/10/12,16:58,Injured/Sick Person,CBE
224,2012-00048935,09/10/12,19:07,Wicomico Hall at 69 Preinkert Dr,09/10/12,19:07,Injured/Sick Person,CBE
226,2012-00048949,09/10/12,20:40,Denton Hall at 252 Stadium Dr,09/10/12,21:19,Injured/Sick Person,CBE
228,2012-00048958,09/06/12,20:00,4300 block of Rowalt Dr,09/10/12,22:50,Theft,Suspended
230,2012-00049048,09/11/12,10:30,"Chincoteague Hall, Journalism Building at 59 Library La",09/11/12,10:35,Injured/Sick Person,CBE
232,2012-00049049,08/30/12,10:20,Service Building at 3 Rossborough La,09/11/12,10:52,Other Service Call,CBE
234,2012-00049052,07/31/12,09:00,"CIU/SERT, Police Substation at 18 Yale Ave",09/11/12,11:20,Telephone/EMail Misuse,Arrest
236,2012-00049053,09/10/12,15:00,Commons 1 at 4230 Knox Rd,09/11/12,11:16,Theft,Active/Pending
238,2012-00049056,09/07/12,15:30,Service Building at 3 Rossborough La,09/11/12,12:46,Vandalism,Active/Pending
240,2012-00049064,09/11/12,14:30,Mckeldin Library at 35 Library La,09/11/12,14:41,Theft,Arrest
242,2012-00049068,09/10/12,16:17,"Stamp Student Union, Student Union, Union at 163 Campus Dr",09/11/12,15:23,Theft,Suspended
244,2012-00049110,09/11/12,19:37,Motor Transportation Facility at 11 Greenhouse Dr,09/11/12,19:37,CDS Violation,Arrest
246,2012-00049138,09/11/12,22:12,Architecture Building at 145 Mowatt La,09/11/12,22:12,Injured/Sick Person,CBE
248,2012-00049142,09/03/12,22:00,Centreville Hall at 98 Valley Dr,09/11/12,22:36,Telephone/EMail Misuse,Active/Pending
250,2012-00049205,09/12/12,01:30,Knox Rd,09/12/12,01:30,Assault,Arrest
252,2012-00049281,09/12/12,05:50,"Motor Pool, Severn Building, Washington Post Building at 5245 Greenbelt Rd",09/12/12,11:01,Telephone/EMail Misuse,Active/Pending
254,2012-00049334,09/07/12,21:00,Commons 2 at 4250 Knox Rd,09/12/12,16:24,Vandalism,Active/Pending
256,2012-00049337,09/12/12,16:44,Baltimore Ave,09/12/12,16:44,DWI/DUI,Arrest
258,2012-00049350,09/12/12,16:30,Commons 3 at 4318 Knox Rd,09/12/12,17:40,Theft,Active/Pending
260,2012-00049435,09/13/12,01:01,Baltimore Ave,09/13/12,01:01,Traffic Offense,Active/Pending
262,2012-00049501,09/13/12,12:00,Architecture Building at 145 Mowatt La,09/13/12,12:11,Injured/Sick Person,CBE
264,2012-00049502,09/13/12,12:00,Denton Area Dining Hall at 251 Denton Dr,09/13/12,12:08,Injured/Sick Person,CBE
266,2012-00049516,09/09/12,18:00,Main Administration Building at 77 Regents Dr,09/13/12,13:39,Other Service Call,CBE
268,2012-00049569,09/13/12,01:00,"La Plata Hall, laplata hall at 259 Farm Dr",09/13/12,19:07,Assault,CBE
270,2012-00049571,09/13/12,12:00,MD Book Exchange at 4500 College Ave,09/13/12,19:53,Suspicious Activity,Suspended
272,2012-00049613,09/13/12,23:36,Commons 3 at 4318 Knox Rd,09/13/12,23:36,Burglary,Arrest
274,2012-00049645,09/14/12,01:42,Knox Rd,09/14/12,01:43,Vandalism,Arrest
276,2012-00049646,09/14/12,01:46,Baltimore Ave,09/14/12,01:46,DWI/DUI,Arrest
278,2012-00049649,09/14/12,02:04,"BSS/SOC, Pocomoke Building at 7 Baltimore Ave",09/14/12,02:04,Disorderly Conduct,Arrest
280,2012-00049685,09/12/12,16:00,200 block of Rossborough La,09/14/12,08:33,Theft from Auto,Suspended
282,2012-00049700,09/14/12,10:20,"Cole Field House, Cole Student Activities Building, Driscoll Center at 162 Union Dr",09/14/12,10:30,Injured/Sick Person,CBE
284,2012-00049747,09/14/12,15:00,"John S. Toll Physics Building, Physics Building at 82 Regents Dr",09/14/12,15:04,Suspicious Activity,Active/Pending
286,2012-00049845,09/14/12,22:58,Regents Dr,09/14/12,22:58,Found/Recovered Property,CBE
288,2012-00049864,09/14/12,22:10,Commons 3 at 4318 Knox Rd,09/15/12,00:08,Vandalism,Suspended
290,2012-00049869,09/15/12,00:41,7500 block of Rhode Island Ave,09/15/12,00:41,CDS Violation,Arrest
292,2012-00049870,09/15/12,00:44,Baltimore Ave,09/15/12,00:44,DWI/DUI,Arrest
294,2012-00049875,09/15/12,01:31,250 block of Denton Dr,09/15/12,01:41,Injured/Sick Person,CBE
296,2012-00049879,09/15/12,01:00,Cumberland Hall at 122 Valley Dr,09/15/12,02:01,Injured/Sick Person,CBE
298,2012-00049883,09/15/12,02:16,Ellicott Hall at 256 Stadium Dr,09/15/12,02:16,Theft,CBE
300,2012-00049893,09/15/12,03:00,"Looney's Pub, The Varsity at 8150 Baltimore Ave",09/15/12,03:06,Assist Other Agency,CBE
302,2012-00049912,09/15/12,09:40,Lot 2g,09/15/12,09:48,Injured/Sick Person,CBE
304,2012-00049927,09/15/12,12:00,Valley Dr,09/15/12,12:13,Injured/Sick Person,CBE
306,2012-00049937,09/15/12,13:00,"Byrd Stadium, Capital One Field at Byrd Stadium",09/15/12,13:00,Injured/Sick Person,Active/Pending
308,2012-00049938,09/15/12,13:15,Lot 1b,09/15/12,13:19,Other Service Call,CBE
310,2012-00049943,09/15/12,07:00,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 404 Mowatt La",09/15/12,15:11,Theft,Unfounded
312,2012-00049946,09/15/12,15:50,Computer & Space Sciences Building at 224 Farm Dr,09/15/12,15:59,Injured/Sick Person,CBE
314,2012-00049947,09/01/12,03:00,Lot 2g,09/15/12,16:14,Theft from Auto,Active/Pending
316,2012-00049950,09/15/12,16:52,"Eppley Recreation Center, ERC at 68 Farm Dr",09/15/12,16:52,Injured/Sick Person,CBE
318,2012-00049952,09/15/12,17:06,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage at 403 Terrapin Tr",09/15/12,17:06,Juvenile Offense,CBE
320,2012-00049969,09/15/12,22:30,Montgomery Hall at 32 Lehigh Rd,09/15/12,23:06,Injured/Sick Person,CBE
322,2012-00049973,09/15/12,23:25,College Ave,09/15/12,23:28,Assist Other Agency,CBE
324,2012-00049975,09/15/12,23:45,Ellicott Hall at 256 Stadium Dr,09/15/12,23:45,Injured/Sick Person,CBE
326,2012-00049989,09/15/12,10:00,Commons 7 at 6801 Preinkert Dr,09/16/12,00:54,Vandalism,Suspended
328,2012-00049990,09/16/12,01:02,"Asphalt Institute, Potomac Building at 92 Stadium Dr",09/16/12,01:02,DWI/DUI,Arrest
330,2012-00050031,09/15/12,18:00,Alpha Delta Pi Sorority at 4535 College Ave,09/16/12,10:33,Vandalism,Active/Pending
332,2012-00050051,09/15/12,21:30,Hagerstown Hall at 258 Hagerstown Dr,09/16/12,12:07,Theft,Active/Pending
334,2012-00050107,09/16/12,{NO TIME},8200 block of Boteler La,09/16/12,18:36,Theft,Suspended
336,2012-00050234,09/17/12,10:31,"Eppley Recreation Center, ERC at 68 Farm Dr",09/17/12,10:31,Injured/Sick Person,CBE
338,2012-00050269,09/17/12,10:00,"Art Sociology Building, Art-Sociology Building at 146 Campus Dr",09/17/12,13:50,Lost Property,Unfounded
340,2012-00050330,09/17/12,19:28,"Eppley Recreation Center, ERC at 68 Farm Dr",09/17/12,19:28,Injured/Sick Person,CBE
342,2012-00050458,09/18/12,10:11,"Armory, Reckord Armory at 78 Administration Ci",09/18/12,10:11,Injured/Sick Person,CBE
344,2012-00050467,09/17/12,17:30,Commons 7 at 6801 Preinkert Dr,09/18/12,10:32,Theft,Suspended
346,2012-00050483,09/12/12,14:21,"Stamp Student Union, Student Union, Union at 163 Campus Dr",09/18/12,14:54,Theft,Arrest
348,2012-00050502,09/18/12,16:30,35 Library La,09/18/12,16:53,Theft,Suspended
350,2012-00050504,09/18/12,17:05,Lot MV,09/18/12,17:05,Injured/Sick Person,CBE
352,2012-00050546,09/16/12,11:15,Van Munching Hall at 39 Mowatt La,09/18/12,21:31,Lost Property,Suspended
354,2012-00050611,09/19/12,01:41,Baltimore Ave,09/19/12,01:41,Alcohol Violation,Arrest
356,2012-00050685,09/18/12,21:00,"DOTS, Lot 5, PG2, Regents Drive Parking Garage, WAM Lab at 202 Regents Dr",09/19/12,12:15,Theft,Active/Pending
358,2012-00050703,09/19/12,15:00,Stadium Dr,09/19/12,15:02,Injured/Sick Person,CBE
360,2012-00050709,09/19/12,15:20,Health Center at 140 Campus Dr,09/19/12,15:37,Injured/Sick Person,CBE
362,2012-00050768,09/19/12,22:42,Service Building at 3 Rossborough La,09/19/12,22:42,Accident,CBE
364,2012-00050771,09/20/12,00:20,64 Campus Dr,09/20/12,00:20,Injured/Sick Person,CBE
366,2012-00050780,09/20/12,01:47,Baltimore Ave,09/20/12,01:47,DWI/DUI,Arrest
368,2012-00050829,09/20/12,11:53,Adelphi Rd,09/20/12,11:53,CDS Violation,Arrest
370,2012-00050891,09/20/12,17:40,"Motor Pool, Severn Building, Washington Post Building at 5245 Greenbelt Rd",09/20/12,19:23,Dept Property Damage/Loss,CBE
372,2012-00050971,09/21/12,01:17,Oakland Hall at 419 Denton Dr,09/21/12,01:17,Injured/Sick Person,CBE
374,2012-00050973,09/21/12,01:28,Knox Rd,09/21/12,01:28,Disorderly Conduct,Arrest
376,2012-00050989,09/21/12,02:38,Paint Branch Py,09/21/12,02:38,CDS Violation,Arrest
378,2012-00051008,09/20/12,16:00,Lot 16,09/21/12,07:00,Vandalism,Active/Pending
380,2012-00051021,09/21/12,10:10,Architecture Building at 145 Mowatt La,09/21/12,10:14,Injured/Sick Person,CBE
382,2012-00051032,09/18/12,12:00,Computer & Space Sciences Building at 224 Farm Dr,09/21/12,11:31,Theft,Active/Pending
384,2012-00051050,09/21/12,02:30,University Courtyard #5 at 8500 Boteler La,09/21/12,14:13,Police Information,CBE
386,2012-00051064,09/21/12,15:45,"Eppley Recreation Center, ERC at 68 Farm Dr",09/21/12,15:54,Injured/Sick Person,CBE
388,2012-00051080,09/21/12,14:10,Mckeldin Library at 35 Library La,09/21/12,17:35,Theft,Active/Pending
390,2012-00051165,09/22/12,00:02,Commons 3 at 4318 Knox Rd,09/22/12,00:04,Injured/Sick Person,CBE
392,2012-00051166,09/22/12,00:04,North Gate at 295 Campus Dr,09/22/12,00:06,DWI/DUI,Arrest
394,2012-00051168,09/22/12,00:15,Mckeldin Mall,09/22/12,00:19,CDS Violation,Arrest
396,2012-00051169,09/22/12,00:17,Lot XX4,09/22/12,00:17,Injured/Sick Person,CBE
398,2012-00051173,09/21/12,21:00,Commons 4 at 4310 Knox Rd,09/22/12,00:51,Vandalism,Suspended
400,2012-00051178,09/22/12,01:15,Baltimore Ave,09/22/12,01:23,DWI/DUI,Arrest
402,2012-00051179,09/22/12,01:28,Baltimore Ave,09/22/12,01:28,DWI/DUI,Arrest
404,2012-00051180,09/22/12,00:50,Lot R3,09/22/12,01:33,Assault,Suspended
406,2012-00051181,09/22/12,01:36,Centreville Hall at 98 Valley Dr,09/22/12,01:36,Injured/Sick Person,CBE
408,2012-00051192,09/22/12,03:20,240 block of Yale Ave,09/22/12,03:21,Injured/Sick Person,CBE
410,2012-00051225,09/22/12,11:50,Cumberland Hall at 122 Valley Dr,09/22/12,12:10,Injured/Sick Person,CBE
412,2012-00051227,09/21/12,20:00,Commons 4 at 4310 Knox Rd,09/22/12,12:58,Vandalism,Active/Pending
414,2012-00051231,09/21/12,17:20,Biology-Pyschology Building at 144 Field House Dr,09/22/12,13:57,Theft,Active/Pending
416,2012-00051240,09/21/12,20:00,Harford Hall at 14 Regents Dr,09/22/12,15:27,Theft,Suspended
418,2012-00051259,09/22/12,20:30,250 block of Farm Dr,09/22/12,20:37,Theft,Arrest
420,2012-00051306,09/23/12,02:50,Lakeland Rd,09/23/12,02:53,DWI/DUI,Arrest
422,2012-00051346,09/22/12,20:00,Allegany Hall at 24 Lehigh Rd,09/23/12,12:13,Stolen Motor Vehicle,Active/Pending
424,2012-00051361,09/22/12,23:00,University Courtyard #3 at 8300 Boteler La,09/23/12,13:56,Stolen Motor Vehicle,Active/Pending
426,2012-00051364,09/23/12,14:52,Elkton Hall at 254 Denton Dr,09/23/12,14:52,CDS Violation,Arrest
428,2012-00051373,09/23/12,16:59,Commons 3 at 4318 Knox Rd,09/23/12,16:59,Fire,CBE
430,2012-00051395,09/23/12,21:40,"John S. Toll Physics Building, Physics Building at 82 Regents Dr",09/23/12,21:40,Accident,CBE
432,2012-00051405,09/23/12,23:20,"Stamp Student Union, Student Union, Union at 163 Campus Dr",09/23/12,23:22,Theft,Suspended
434,2012-00051420,09/24/12,02:01,Hagerstown Hall at 258 Hagerstown Dr,09/24/12,02:01,Injured/Sick Person,CBE
436,2012-00051426,09/23/12,21:00,"La Plata Hall, laplata hall at 259 Farm Dr",09/24/12,02:49,Injured/Sick Person,CBE
438,2012-00051429,09/24/12,03:11,University Bl,09/24/12,03:12,Traffic Arrest,Arrest
440,2012-00051443,09/22/12,12:00,Anne Arundel Hall at 60 Campus Dr,09/24/12,08:51,Theft,Active/Pending
442,2012-00051467,09/24/12,12:00,Easton Hall at 253 Denton Dr,09/24/12,12:07,Injured/Sick Person,CBE
444,2012-00051474,09/24/12,13:03,Yale Ave,09/24/12,13:36,Accident - Departmental,CBE
446,2012-00051499,09/24/12,17:57,35 Library La,09/24/12,18:15,Theft,Arrest
448,2012-00051520,09/21/12,18:00,Skinner Building at 44 Chapel Dr,09/24/12,22:25,Hate Bias Incident,Suspended
450,2012-00051523,09/24/12,22:40,Knox Rd,09/24/12,22:40,Warrant/Summons Service,Arrest
452,2012-00051574,09/17/12,07:00,Lot PP1,09/25/12,07:53,Other Service Call,CBE
454,2012-00051613,09/25/12,08:00,"Clarice Smith Performing Arts Center, CSPAC at 386 Stadium Dr",09/25/12,11:32,Fraud,Suspended
456,2012-00051626,09/25/12,13:27,Baltimore Ave,09/25/12,13:27,CDS Violation,Arrest
458,2012-00051632,09/24/12,13:28,Lot 11b,09/25/12,14:29,Suspicious Activity,Active/Pending
460,2012-00051640,09/25/12,15:52,"Stamp Student Union, Student Union, Union at 163 Campus Dr",09/25/12,15:52,Injured/Sick Person,CBE
462,2012-00051646,09/25/12,14:50,Lefrak Hall at 38 Preinkert Dr,09/25/12,16:29,Theft,Unfounded
