What is your gender?,What is your age range? If under 18 years old please stop here and do not complete this survey. (Select one),I am a (Select as many as apply),"If a current UMD student, which best describes you? (Select one)",Which best describes how often you read The Diamondback?,When I do read the Diamondback I most often choose content in these areas (Select all that apply),"On a scale of 1 to 5, how relevant is The Diamondback to issues that are most important to you?",Which of the following would you like to see more of from The Diamondback? (Select all that apply),What type of device do you most often use to access The Diamondback? (Select all that apply),When reading news on your phone do you prefer to use,"On a scale of 1 to 5, if you knew that The Diamondback had a mobile app how likely would you be to download it?",Do you follow The Diamondback on any of the following? (Select all that apply),Which sources of news do you use to stay updated on campus information that is relevant to you? (Select all that apply),What could The Diamondback do to improve? ,What do you think The Diamondback does well as a news source?,"If you have any other comments, suggestions or questions, please enter them below. Thank you."
Female,18-19,UMD student,Freshman,At least once a month,"Campus News
College Park News
Opinions",4,"Diversity, Equity and Inclusion",Phone,Mobile website,1,Instagram,"The Diamondback
University emails
University Social Media
Word of Mouth",,,
Male,18-19,UMD student,Sophomore,At least once a week,Campus News,3,"Breaking News
Entertainment",Computer / Laptop,Mobile website,4,Daily emailed newsletter,"University emails
Word of Mouth",,,
Non-binary,18-19,UMD student,Freshman,Very rarely,"Campus News
Diversions/Entertainment",4,"Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop",Mobile website,1,I do not use social media,"The Diamondback
WMUC Radio
The Writers Bloc
Maryland Today
University emails
Word of Mouth
The Hare",,,
Female,18-19,UMD student,Freshman,At least once a week,"Campus News
Diversions/Entertainment",3,Breaking News,Computer / Laptop,App,5,Instagram,"Stories Beneath the Shell
University emails
University Social Media
Word of Mouth",,,
Female,18-19,UMD student,Sophomore,At least once a week,"Campus News
College Park News
Sports",4,"Breaking News
Opinions",Phone,I get my news from social media,4,Instagram,"The Diamondback
Maryland Today",,,
Male,18-19,UMD student,Sophomore,At least once a month,"Sports
Crime",,Lifestyle Content,Phone,App,5,Instagram,"The Diamondback
Stories Beneath the Shell",,Report on sports beyond just the score of a game,
Female,20-21,UMD student,Junior,At least once a week,"Campus News
College Park News
Crime
Opinions",5,"Breaking News
Opinions
Diversity, Equity and Inclusion",Phone,Mobile website,5,Instagram,"The Diamondback
Twitter",,,
Female,20-21,UMD student,Senior,At least once a month,"Campus News
College Park News
Diversions/Entertainment",4,Breaking News,Phone,App,5,None of the above,"The Diamondback
Her Campus
Stories Beneath the Shell
Maryland Today
University emails
University Social Media",Cover more breaking news,Stay unbiased and reliable,
Female,20-21,UMD student,Junior,At least once a week,"Campus News
College Park News
Crime
Opinions",5,"Breaking News
Opinions
Diversity, Equity and Inclusion",Phone,Mobile website,5,Instagram,"The Diamondback
Twitter",,,
Female,20-21,UMD student,Freshman,Several times a week,"Campus News
Diversions/Entertainment
Opinions
Other",3,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,I get my news from social media,5,"Daily emailed newsletter
Instagram","The Diamondback
Mitzpeh
WMUC Radio",,,
Female,18-19,UMD student,Sophomore,At least once a day,"Campus News
Sports",4,"Breaking News
Student Profiles","Phone
Computer / Laptop",Mobile website,5,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
Mitzpeh
Her Campus
The Left Bench
Stories Beneath the Shell
WMUC Radio
Maryland Today
University emails
University Social Media",,,
Male,25-30,UMD student,Senior,At least once a day,"Campus News
College Park News
Sports
Opinions",5,"Breaking News
Student Profiles
Opinions
Sports","Phone
Computer / Laptop",Mobile website,4,"Daily emailed newsletter
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",Better Twitter updates from accounts and reporters. More focus on Maryland state politics and local DC area coverage.,"The Diamondback is probably one of the few reliable news sources for local news I can rely on. Whenever I look for news about what’s happening in College Park or in Prince George’s County, I first check to see if the Diamondback has covered it.",More DC area news stories if possible. Perhaps highlight more development of the city and university community. Definitely more political and government coverage and how it’s impacting the UMD community. Perhaps even consider partnering with Greater Greater Washington on a few things regarding PG County news stories on transportation and development stories.
Female,22-24,UMD student,Senior,Several times a week,"Campus News
College Park News
Diversions/Entertainment
Opinions",5,"Breaking News
Lifestyle Content
Opinions","Phone
Computer / Laptop",App,5,"Daily emailed newsletter
Instagram","The Diamondback
University emails",,,
Non-binary,22-24,UMD student,Graduate Student,At least once a day,"Diversions/Entertainment
Opinions",4,"Lifestyle Content
Entertainment","Phone
Computer / Laptop",email newsletters,1,"Daily emailed newsletter
Facebook","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth","Ok this is small but it's always bothered me that on the website on desktop, news article text is literally at the edge of the screen, like there's no space/margin between the screen and the text. Is there a way to add space there for readability? and... I miss the physical copies of the newspaper :( but that's ok. I also wish there was a little place for short reader responses, I know that you can have guest columnists and articles responding to other articles but sometimes I have a little response (like a paragraph) that I wish I could just shoot off really quick, and then all these responses could be compiled into a larger post or something..?","Love the weekly newsletters! They're the main way I get news and I read them every day. Not sure how many people read them but I personally would love to see more stuff in them - could be anything, more articles, more summary text, a little crossword like Vox does, idk! And also my favorite section of the DBK is diversions! OH BY THE WAY, the playlist recommendation article website thing was SO cool AND as someone who's started going into DC a lot I really liked the DC review guide!",
Female,20-21,UMD student,Senior,At least once a week,"Diversions/Entertainment
Opinions",3,"Lifestyle Content
Student Profiles
Entertainment
Opinions","Phone
Computer / Laptop",I get my news from social media,3,"Daily emailed newsletter
Instagram","The Diamondback
University emails
University Social Media",,,
Male,22-24,UMD student,Graduate Student,At least once a week,"Campus News
College Park News",3,"Breaking News
Student Profiles
Diversity, Equity and Inclusion",Phone,Mobile website,2,None of the above,"The Diamondback
University Social Media","I think having a review of new restaurants when they open around college park would be good. I’m the past year, examples included Okinama ramen and D.P. Dough and Trader Joe’s. There will also be the new DogHaus opening soon as well.","I think diamondback excels when it talks about local topics that I can’t get from other news sources. Although I don’t read the articles of news sports, I do like skimming headlines to know if we’re in an upswing. Perhaps some sort of weekly or monthly summary of sports could be good? (Though that could be overlapping with Terrapin Sports Central)

Frankly, I enjoy reading most about construction updates from the Diamondback. I like to know when new restaurants are being built, or if there will be new housing or apartments coming to the area. If there are changes to the roadways I need to watch out for.","Your poll could be updated. From what I can tell, Unwind magazine doesn’t exist anymore and The Left Bench changed its name to Terrapin Sports Central (although their weekly show is still called the left bench?)"
Female,18-19,UMD student,Freshman,Very rarely,"Campus News
College Park News
Crime",2,"Breaking News
Diversity, Equity and Inclusion",Phone,Mobile website,3,Instagram,"Her Campus
University emails
University Social Media
Word of Mouth",More local news and asking others what they want to read. ,,
Female,18-19,UMD student,Freshman,Several times year,Opinions,3,"Entertainment
Opinions",Computer / Laptop,I get my news from social media,5,None of the above,"University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Junior,At least once a week,"Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Sports
Diversity, Equity and Inclusion",Phone,Mobile website,5,Instagram,"The Diamondback
Mitzpeh
Her Campus
The Left Bench
Stories Beneath the Shell
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,18-19,UMD student,Sophomore,At least once a week,"Campus News
Diversions/Entertainment
Opinions",3,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,Mobile website,1,Instagram,"The Diamondback
Stories Beneath the Shell
University emails
University Social Media",,,You should research how Student Body President Ayelette Halbfinger is racist and makes Islamiphobic remarks
Female,20-21,UMD student,Senior,Several times a week,,,,"Phone
Computer / Laptop",I get my news from social media,2,,,,,
Prefer not to answer,20-21,UMD student,Junior,At least once a week,Other,5,Lifestyle Content,Tablet,App,,,,,,
Female,20-21,UMD student,Senior,Several times a week,"Campus News
Opinions",4,"Breaking News
Lifestyle Content
Opinions",Phone,App,1,Instagram,"The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,Does a good job of advocating for students ,
Male,18-19,UMD student,Sophomore,At least once a week,"Campus News
Opinions",3,stop publishing,Phone,I get my news from social media,1,Instagram,"THE UMD HARE, BABEEEEEEEEEEEEEEE",Shut down your paper,Nothing,Viva la Hare
Female,18-19,UMD student,Freshman,At least once a week,"Campus News
College Park News
Sports
Opinions",4,"Breaking News
Student Profiles","Phone
Computer / Laptop
Tablet",Email digests/newsletter (I currently use a rollup),1,"Daily emailed newsletter
Instagram","The Diamondback
Maryland Today
University emails
University Social Media",,,
Female,20-21,UMD student,Senior,At least once a week,"Campus News
College Park News",5,"Breaking News
Entertainment",Phone,Mobile website,1,"Daily emailed newsletter
Instagram","The Diamondback
Maryland Today
University emails
Word of Mouth",,,
Male,20-21,UMD student,Junior,Several times a week,"Campus News
College Park News
Sports
Opinions",4,Breaking News,Phone,App,5,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Junior,At least once a week,"Campus News
College Park News
Diversions/Entertainment
Opinions",4,"Breaking News
Student Profiles",Phone,App,,Daily emailed newsletter,The Writers Bloc,,,
Male,25-30,UMD student,Senior,Several times a week,"Campus News
College Park News
Diversions/Entertainment
Sports",4,Student Profiles,"Phone
Computer / Laptop",Mobile website,3,None of the above,"The Diamondback
WMUC Radio
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,"Consistently puts out quality writing. Not cluttered looking, the site is visually appealing. Headlines make you want to read but aren’t clickbait-y. ",
Female,18-19,UMD student,Sophomore,At least once a month,"Campus News
College Park News",4,"Breaking News
Entertainment
Diversity, Equity and Inclusion",Phone,I get my news from social media,2,Daily emailed newsletter,"The Diamondback
University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Junior,Several times a week,"Campus News
College Park News
Diversions/Entertainment
Opinions",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,I get my news from social media,4,Instagram,"The Diamondback
Maryland Today
University emails",,,
Female,18-19,UMD student,Freshman,Several times a week,"Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",4,"Lifestyle Content
Student Profiles
Diversity, Equity and Inclusion",Computer / Laptop,I get my news from social media,1,Instagram,"The Diamondback
Stories Beneath the Shell",pay copy editors more,pay ppl,
Female,18-19,UMD student,Freshman,Very rarely,Opinions,3,Student Profiles,Phone,App,2,None of the above,None of these,,,
Female,20-21,UMD student,Junior,At least once a month,"Campus News
College Park News
Diversions/Entertainment
Crime
Opinions",5,"Breaking News
Opinions
Diversity, Equity and Inclusion","Phone
Computer / Laptop",I get my news from social media,4,Instagram,"The Diamondback
University Social Media",Advertise more,A broad variety of student contributors ,
Female,20-21,UMD student,Senior,At least once a month,"Campus News
College Park News
Diversions/Entertainment",4,"Lifestyle Content
Student Profiles
Entertainment",Computer / Laptop,App,1,Daily emailed newsletter,"Maryland Today
University emails
Word of Mouth
Twitter",,,
Female,18-19,UMD student,Sophomore,At least once a month,"Campus News
College Park News",3,Breaking News,Phone,App,4,None of the above,Her Campus,,,
,,,,,,,,,,,,,,,
Female,20-21,UMD student,Senior,Very rarely,"Campus News
College Park News
Sports",3,"Breaking News
Sports","Phone
Computer / Laptop",I get my news from social media,3,Daily emailed newsletter,"Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Senior,Several times year,"Campus News
College Park News
Crime",4,"Lifestyle Content
Diversity, Equity and Inclusion",Phone,I get my news from social media,2,Daily emailed newsletter,"The Diamondback
Her Campus
Maryland Today", N/A ,"Relevant information, easy to ready newsletter! :) ",
Female,20-21,UMD student,Sophomore,Several times year,"Campus News
Sports
Crime",5,"Breaking News
Entertainment
Opinions","Phone
Computer / Laptop",Mobile website,2,None of the above,"University emails
Word of Mouth",,,
Female,20-21,UMD student,Junior,Several times year,"Diversions/Entertainment
Sports",4,"Lifestyle Content
Sports",Phone,Mobile website,1,None of the above,"Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,18-19,UMD student,Sophomore,Very rarely,"Campus News
Sports",4,"Breaking News
Student Profiles
Entertainment
Opinions
Sports
Diversity, Equity and Inclusion",Phone,Mobile website,1,None of the above,"University emails
University Social Media
Word of Mouth",,,
Female,22-24,UMD student,Graduate Student,At least once a month,Campus News,3,Lifestyle Content,Phone,Mobile website,4,Instagram,,,,
Female,20-21,UMD student,Senior,At least once a month,Campus News,3,"Opinions
Sports",Phone,I get my news from social media,3,None of the above,"The Diamondback
University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Sophomore,Very rarely,"Campus News
Diversions/Entertainment
Crime",2,Lifestyle Content,Phone,I get my news from social media,1,Instagram,"The Diamondback
University emails",,,
Female,20-21,UMD student,Junior,Very rarely,Campus News,3,"Breaking News
Entertainment",Phone,Mobile website,1,None of the above,"University emails
University Social Media",,Topics that’s apply to UMD,
Female,18-19,UMD student,Sophomore,Very rarely,"Sports
Crime",3,"Breaking News
Entertainment
Opinions
Sports","Phone
Computer / Laptop",I get my news from social media,1,None of the above,"University emails
University Social Media
Word of Mouth",,,
Female,18-19,UMD student,Sophomore,At least once a day,Campus News,3,"Breaking News
Lifestyle Content
Student Profiles",Phone,I get my news from social media,1,Instagram,"The Diamondback
University emails
University Social Media
Word of Mouth",,,
Male,18-19,UMD student,Sophomore,At least once a week,Campus News,3,"Breaking News
Entertainment",Computer / Laptop,Mobile website,4,Daily emailed newsletter,"University emails
Word of Mouth",,,
Non-binary,18-19,UMD student,Freshman,Very rarely,"Campus News
Diversions/Entertainment",4,"Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop",Mobile website,1,I do not use social media,"The Diamondback
WMUC Radio
The Writers Bloc
Maryland Today
University emails
Word of Mouth
The Hare",,,
Female,22-24,UMD alumni,,At least once a month,"Campus News
College Park News
Opinions",4,Opinions,Phone,I get my news from social media,2,"Daily emailed newsletter
Instagram","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,Covers stories students care about and gets perspectives from students ,
Female,18-19,UMD student,Freshman,At least once a week,"Campus News
Diversions/Entertainment",3,"Breaking News
Opinions",Computer / Laptop,App,5,Instagram,"Stories Beneath the Shell
WMUC Radio
University emails
University Social Media
Word of Mouth",,,
Female,18-19,UMD student,Sophomore,At least once a week,"Campus News
College Park News
Sports",4,"Breaking News
Opinions",Phone,I get my news from social media,4,Instagram,"The Diamondback
Maryland Today",,,
